Grid ID,Latitude,Longitude,Area Sq Km,Road Density,Waterhole Count 10km,Distance to Water km,Distance to Gate km,Patrol Proxy,Response Time Min,Vegetation Proxy,Normalized Road Density,Normalized Waterhole Count 10km,Normalized Distance to Gate km,Normalized Response Time Min,DVI,pos_y,pos_x,Staff,Drones,Cameras,Is_Covered
86ac86737ffffff,-19.12073221,17.06163122,40.27,165.2123,0,267.224,125.34,0.0079,3.97,0.0,0.156084393,0.0,0.732087227,0.281784387,0.0260330341592582,-2122.40127531,1791.4712780999998,0.0,0.0,0.0,1.0
86ac810d7ffffff,-18.90101867,14.60456595,39.16,176.2574,0,31.733,143.29,0.007,7.32,0.1206,0.166531441,0.0,0.839623772,0.530855019,0.0643673793158936,-2098.01307237,1533.47942475,0.0,0.0,0.0,1.0
86ac8185fffffff,-19.43042203,14.48335991,39.0,234.3986,1,7.809,148.13,0.0067,4.86,0.5942,0.221524508,0.5,0.868619698,0.34795539,0.170767299646502,-2156.77684533,1520.75279055,0.0,0.0,0.0,1.0
86ac82d6fffffff,-18.67622705,16.7411259,40.2,178.1588,0,244.963,115.17,0.0086,3.6,0.0,0.168329887,0.0,0.671159837,0.254275093,0.0478566888583665,-2073.06120255,1757.8182195,0.0,0.0,0.0,1.0
86ac80607ffffff,-18.80241665,15.75286222,39.72,144.6432,0,141.865,60.14,0.0165,7.02,0.0001,0.136629034,0.0,0.341480949,0.508550186,0.2279194033127077,-2087.0682481500003,1654.0505331000002,0.0,0.0,0.0,1.0
86ac8119fffffff,-19.04511242,14.78108672,39.22,192.8982,0,38.259,120.77,0.0082,1.68,0.078,0.182271203,0.0,0.704708843,0.111524164,0.0705158522886633,-2114.00747862,1552.0141056,0.0,0.0,0.0,1.0
86ac81c4fffffff,-19.22900328,14.79635398,39.19,175.4848,0,32.168,115.46,0.0086,1.94,0.1171,0.165800675,0.0,0.672897196,0.130855019,0.1331698788647568,-2134.41936408,1553.6171679,0.0,0.0,0.0,1.0
86ac80337ffffff,-19.21885803,15.51245649,39.53,292.8141,0,104.329,41.54,0.0238,3.79,0.001,0.276777023,0.0,0.230050324,0.268401487,0.2310501293307524,-2133.29324133,1628.80793145,0.0,0.0,0.0,1.0
86ac80ce7ffffff,-19.33587904,16.13289076,39.79,284.0046,0,168.017,25.53,0.0384,5.04,0.0,0.268444525,0.0,0.134136113,0.36133829,0.1712480465228454,-2146.28257344,1693.9535297999998,0.0,0.0,0.0,1.0
86ac8006fffffff,-19.24631977,15.57016718,39.55,185.5416,0,109.855,34.86,0.0283,6.56,0.0007,0.175312936,0.0,0.190031153,0.474349442,0.1923302953512821,-2136.34149447,1634.8675539,0.0,0.0,0.0,1.0
86ac81cf7ffffff,-19.15541105,15.01031105,39.3,89.5874,0,55.653,94.45,0.0105,6.76,0.0245,0.084554304,0.0,0.547028517,0.489219331,0.3671180798386607,-2126.25062655,1576.0826602500001,0.0,0.0,0.0,1.0
86ac862d7ffffff,-18.99963513,16.54785104,40.05,448.2177,0,215.868,78.25,0.0127,0.66,0.0,0.423766087,0.0,0.449976036,0.035687732,0.0435340389904088,-2108.95949943,1737.5243592000002,0.0,0.0,0.0,1.0
86ac80577ffffff,-19.15120756,16.11637644,39.82,152.8488,0,168.201,30.95,0.0318,5.72,0.0,0.144390331,0.0,0.166606758,0.411895911,0.1809429260075203,-2125.78403916,1692.2195262,0.0,0.0,0.0,1.0
86ac80c1fffffff,-19.36322356,16.19097579,39.82,261.172,0,174.046,31.83,0.0309,2.44,0.0,0.246848226,0.0,0.171878744,0.16802974,0.1312490784143161,-2149.31781516,1700.05245795,0.0,0.0,0.0,1.0
86ac80adfffffff,-19.25923584,15.35008743,39.44,155.4932,0,86.762,57.27,0.0173,2.0,0.0031,0.146891547,0.0,0.324287084,0.135315985,0.2073067805857107,-2137.77517824,1611.75918015,0.0,0.0,0.0,1.0
86ac81b97ffffff,-19.30805572,14.47336391,39.02,349.8745,1,6.266,148.84,0.0067,2.31,0.6585,0.330747811,0.5,0.872873233,0.158364312,0.0673609781970033,-2143.1941849199998,1519.70321055,4.0,0.0,0.0,1.0
86ac8102fffffff,-19.11849497,14.56755896,39.1,481.9368,0,17.011,140.96,0.0071,2.2,0.3217,0.455659421,0.0,0.825664989,0.150185874,0.0959995468279125,-2122.15294167,1529.5936907999999,0.0,0.0,0.0,1.0
86ac8154fffffff,-18.95003843,14.82813199,39.26,203.3715,0,48.863,119.32,0.0083,2.87,0.0385,0.192177412,0.0,0.696022046,0.2,0.1813922212078394,-2103.45426573,1556.9538589499998,0.0,0.0,0.0,1.0
86ac801a7ffffff,-19.31530681,15.96432342,39.72,626.2406,0,150.417,7.98,0.118,2.3,0.0,0.592149698,0.0,0.028995926,0.157620818,0.1579089381053027,-2143.9990559099997,1676.2539591,0.0,0.0,0.0,1.0
86ac81727ffffff,-18.86730672,14.65662747,39.19,207.8534,0,38.358,139.47,0.0071,2.08,0.0775,0.196416633,0.0,0.816738557,0.141263941,0.0901191825813745,-2094.27104592,1538.94588435,0.0,0.0,0.0,1.0
86ac8666fffffff,-18.95782675,16.71127161,40.14,316.6102,0,233.658,95.7,0.0104,1.4,0.0,0.299284651,0.0,0.554517134,0.09070632,0.0370101418497779,-2104.31876925,1754.68351905,0.0,0.0,0.0,1.0
86ac80217ffffff,-19.0070484,15.43890957,39.54,116.8286,0,103.351,59.39,0.0167,4.56,0.001,0.110320493,0.0,0.336987779,0.325650558,0.2888426642277131,-2109.7823724,1621.08550485,0.0,0.0,0.0,1.0
86ac8052fffffff,-19.17853379,16.17440573,39.85,212.5227,0,173.809,34.27,0.0288,1.85,0.0,0.200833108,0.0,0.186496525,0.124163569,0.1129136689729068,-2128.81725069,1698.31260165,0.0,0.0,0.0,1.0
86ac81407ffffff,-18.84857251,14.98455763,39.35,156.013,0,68.612,109.13,0.0091,7.74,0.0103,0.147383201,0.0,0.634974838,0.562081784,0.2692334556869669,-2092.19154861,1573.37855115,0.0,0.0,0.0,1.0
86ac86a97ffffff,-19.45127391,16.75680562,40.06,168.8234,0,233.551,92.02,0.0108,3.68,0.0,0.159499965,0.0,0.532470645,0.260223048,0.0425995070656954,-2159.09140401,1759.4645901000001,0.0,0.0,0.0,1.0
86ac81c57ffffff,-19.22291116,14.90586669,39.24,167.0344,0,42.717,104.09,0.0096,2.11,0.058,0.157807833,0.0,0.604780733,0.143494424,0.1780676852665719,-2133.74313876,1565.11600245,0.0,0.0,0.0,1.0
86ac80cdfffffff,-19.21277552,16.12187804,39.81,213.3466,0,167.862,27.61,0.0356,4.2,0.0,0.201612397,0.0,0.146597172,0.298884758,0.2230641552505633,-2132.61808272,1692.7971942,0.0,0.0,0.0,1.0
86ac81077ffffff,-19.09084994,14.51046228,39.08,256.902,0,15.546,147.41,0.0068,3.75,0.3547,0.242809431,0.0,0.864306254,0.265427509,0.0475110957571117,-2119.0843433399996,1523.5985394000002,0.0,0.0,0.0,1.0
86ac82a1fffffff,-18.50054391,16.11389336,39.94,198.3452,0,190.171,94.77,0.0105,1.69,0.0,0.187423268,0.0,0.548945603,0.112267658,0.0432649191891307,-2053.56037401,1691.9588027999998,4.0,0.0,0.0,1.0
86ac82d57ffffff,-18.60688658,16.84622231,40.27,481.2067,0,257.965,128.62,0.0077,2.65,0.0,0.454968853,0.0,0.751737359,0.183643123,0.0093856388845098,-2065.36441038,1768.8533425500002,0.0,0.0,0.0,1.0
86ac866d7ffffff,-18.75760756,16.91597084,40.27,434.0422,0,259.903,125.2,0.008,3.52,0.0,0.410358138,0.0,0.731248502,0.248327138,0.0182546369662093,-2082.09443916,1776.1769382,0.0,0.0,0.0,1.0
86ac8625fffffff,-19.10288683,16.39014324,39.96,72.6361,0,197.482,58.28,0.017,5.5,0.0,0.068520855,0.0,0.330337886,0.395539033,0.1745009183498536,-2120.42043813,1720.9650402,4.0,0.0,0.0,1.0
86ac866f7ffffff,-18.81940048,16.92170912,40.26,1057.4387,0,258.72,122.4,0.0081,1.19,0.0,1.0,0.0,0.714474,0.075092937,0.0155536545935608,-2088.95345328,1776.7794576,0.0,0.0,0.0,1.0
86ac81117ffffff,-19.2013872,14.73909412,39.17,141.8658,0,26.702,121.78,0.0082,5.74,0.1686,0.13400202,0.0,0.710759645,0.4133829,0.2999093705365993,-2131.3539792,1547.6048826,0.0,0.0,0.0,1.0
86ac839b7ffffff,-18.65874658,15.57455167,39.66,353.4545,0,131.709,81.36,0.0122,4.44,0.0002,0.334133967,0.0,0.468607716,0.316728625,0.1246298173906104,-2071.12087038,1635.32792535,0.0,0.0,0.0,1.0
86ac8391fffffff,-18.69961575,15.41251092,39.58,176.2695,0,114.757,85.97,0.0116,4.17,0.0005,0.166542886,0.0,0.496225737,0.296654275,0.1277421877460691,-2075.65734825,1618.3136466,0.0,0.0,0.0,1.0
86ac86ac7ffffff,-19.46550206,16.53465519,39.95,209.198,0,210.292,69.34,0.0143,4.51,0.0,0.197688428,0.0,0.396597172,0.321933086,0.1021139536082858,-2160.67072866,1736.13879495,0.0,0.0,0.0,1.0
86ac8156fffffff,-19.0113733,14.83323058,39.25,174.465,0,44.888,116.57,0.0085,6.3,0.0502,0.164836093,0.0,0.679547088,0.455018587,0.1962552706690156,-2110.2624363,1557.4892109,0.0,0.0,0.0,1.0
86ac81cc7ffffff,-19.12784764,14.95294436,39.28,110.1759,0,50.514,101.0,0.0099,4.08,0.0345,0.104028012,0.0,0.586268871,0.289962825,0.3004114864028255,-2123.19108804,1570.0591578,0.0,0.0,0.0,1.0
86ac81157ffffff,-19.17974059,14.57258057,39.09,408.4363,0,11.865,139.44,0.0071,4.4,0.4534,0.386138704,0.0,0.816558831,0.313754647,0.0635452648450443,-2128.95120549,1530.12095985,0.0,0.0,0.0,1.0
