Grid ID,Latitude,Longitude,Ti,DVI,RRi,Pt
86ac800d7ffffff,-19.04859284,15.77440531,0.2910233896474233,0.16877192855199694,0.04652046745657055,0.831228071448003
86ac81037ffffff,-19.11249231,14.67681962,0.13971435441344746,0.09442405064625344,0.0491337468790594,0.9055759493537465
86ac82d5fffffff,-18.57977189,16.78797777,0.0604920115535226,0.040500413675698656,0.020508815797874707,0.9594995863243013
86ac82c37ffffff,-18.53742204,16.95133259,0.03476024228092938,0.02680027601979723,0.018840309758665085,0.9731997239802028
86ac80d87ffffff,-19.44520004,16.3654621,0.16222052053051417,0.09389492583645981,0.025569331142405446,0.9061050741635401
86ac86aefffffff,-19.49980234,16.48197818,0.20750542634771021,0.16183880462651773,0.11617218290532524,0.8381611953734822
86ac810dfffffff,-18.87341268,14.54750155,0.29606918358501383,0.1897484284955537,0.08342767340609361,0.8102515715044463
86ac81c1fffffff,-19.21674835,15.01547067,0.23799879538229357,0.1412067201900153,0.044414644997737014,0.8587932798099847
86ac817a7ffffff,-18.73842925,14.75570002,0.42317662571633013,0.29606632336035094,0.1689560210043717,0.7039336766396491
86ac82c2fffffff,-18.54507041,16.84051247,0.048440225974263826,0.03353000028161331,0.0186197745889628,0.9664699997183867
86ac8020fffffff,-19.01356844,15.32904901,0.21271434973521072,0.1584682367247563,0.10422212371430184,0.8415317632752437
86ac811a7ffffff,-19.16771658,14.79126195,0.35109634729780864,0.21496493829238392,0.0788335292869592,0.785035061707616
86ac812b7ffffff,-18.79055487,14.37655363,0.3027617103956747,0.19144894774573457,0.08013618509579443,0.8085510522542654
86ac8036fffffff,-19.20421019,15.23494965,0.3331319208832521,0.22861023264209543,0.12408854440093872,0.7713897673579045
86ac81027ffffff,-19.14613293,14.62469654,0.27190078891641617,0.15879410389191825,0.0456874188674203,0.8412058961080817
86ac8622fffffff,-19.2190431,16.5121343,0.21818668897367688,0.1574350793387295,0.0966834697037821,0.8425649206612705
86ac862cfffffff,-19.00684386,16.43711133,0.10979301657234714,0.06118205643233153,0.01257109629231594,0.9388179435676685
86ac80557ffffff,-19.08962899,16.11087802,0.25678973909521813,0.15054179124265407,0.04429384339008999,0.8494582087573459
86ac800dfffffff,-19.02119872,15.71662966,0.23689354441470428,0.1215290302399974,0.006164516065290487,0.8784709697600026
86ac8179fffffff,-18.6156898,14.74556584,0.36540548766593994,0.2473618561988389,0.1293182247317379,0.7526381438011611
86ac8601fffffff,-19.31336902,16.96773437,0.052032360968515365,0.032921590463888616,0.013810819959261861,0.9670784095361113
86ac8011fffffff,-19.32201622,15.85388703,0.5100777576680103,0.3519346909053247,0.19379162414263906,0.6480653090946753
86ac83b2fffffff,-18.60292763,14.96400834,0.1405981065159122,0.08482926650947029,0.02906042650302834,0.9151707334905297
86ac81c0fffffff,-19.25049705,14.96322978,0.5109787505113929,0.39339665149960046,0.27581455248780806,0.6066033485003995
86ac82aa7ffffff,-18.49331871,16.22414089,0.09280657023319516,0.07165771239681502,0.050508854560434906,0.9283422876031849
86ac83977ffffff,-18.76773963,15.30805912,0.42637636813043606,0.29164777601781233,0.15691918390518866,0.7083522239821877
86ac80357ffffff,-19.13642287,15.33956214,0.3338120073747941,0.2053750453668064,0.07693808335881866,0.7946249546331936
86ac83907ffffff,-18.76112164,15.41778456,0.4462392736997113,0.3042389694515632,0.1622386652034152,0.6957610305484367
86ac86647ffffff,-18.92326735,16.76387566,0.07601175455697914,0.050325998100060755,0.024640241643142373,0.9496740018999392
86ac80647ffffff,-18.78183116,15.58520021,0.21353250082294245,0.14574188531131366,0.07795126979968489,0.8542581146886863
86ac8602fffffff,-19.4095739,16.92074973,0.09187498572655049,0.06485895833525,0.03784293094394951,0.93514104166475
86ac83b0fffffff,-18.5414934,14.95887842,0.11833004927620171,0.06070463495456604,0.003079220632930353,0.939295365045434
86ac83da7ffffff,-18.45313868,15.88823341,0.22401780796084497,0.14382109828326467,0.06362438860568435,0.8561789017167354
86ac81cd7ffffff,-19.09406343,15.00515441,0.5423316878248665,0.4082608430168011,0.2741899982087358,0.5917391569831989
86ac8104fffffff,-19.03553909,14.39639189,0.1785480798988104,0.1162885635192043,0.0540290471395982,0.8837114364807956
86ac8392fffffff,-18.79518263,15.36554036,0.18875699593130016,0.1306563295162077,0.07255566310111523,0.8693436704837922
86ac80077ffffff,-19.23975445,15.68033805,0.507306918165118,0.36001818095335597,0.21272944374159394,0.639981819046644
86ac82c77ffffff,-18.51796194,16.78228648,0.02146338918599293,0.01188066412535028,0.0022979390647076305,0.9881193358746497
86ac80547ffffff,-19.12387227,16.05838579,0.2510239495935232,0.13941627533225798,0.027808601070992763,0.860583724667742
86ac83d0fffffff,-18.49447875,15.72600309,0.15351526440332974,0.10877326914681847,0.06403127389030719,0.8912267308531815
86ac8150fffffff,-18.97133778,14.99485008,0.21933099456203137,0.14342127111595462,0.06751154766987788,0.8565787288840454
86ac8008fffffff,-19.07597848,15.83222008,0.2755391401352305,0.1490369699028487,0.02253479967046693,0.8509630300971514
86ac8678fffffff,-18.93541254,17.04427481,0.011744812643623512,0.005929165642301972,0.00011351864098043308,0.994070834357698
86ac8078fffffff,-18.79554224,15.86296798,0.16066155717244807,0.0832573274159855,0.005853097659522935,0.9167426725840145
86ac8118fffffff,-19.07881878,14.72894971,0.12814183133801113,0.06697673415868848,0.0058116369793658335,0.9330232658413116
86ac82b4fffffff,-18.66535585,15.96227049,0.20817486808362315,0.11995206154794227,0.03172925501226141,0.8800479384520578
86ac80527ffffff,-19.20585086,16.23247357,0.18483942640865123,0.12677648392187324,0.06871354143509527,0.8732235160781268
86ac80007ffffff,-19.23311747,15.79059528,0.4148256537708685,0.30132688751617026,0.187828121261472,0.6986731124838297
86ac810f7ffffff,-18.96231205,14.60959424,0.2276535419345741,0.12914472307884137,0.0306359042231086,0.8708552769211586
86ac81d9fffffff,-19.23805477,15.18265255,0.40463202123513303,0.24623889178419614,0.08784576233325928,0.7537611082158039
86ac8380fffffff,-18.58326753,15.29234844,0.37679971638300697,0.25297408461010956,0.12914845283721213,0.7470259153898904
86ac81107ffffff,-19.23502484,14.68693321,0.12695547941437207,0.06347773970718604,0.0,0.9365222602928139
86ac862afffffff,-19.08853669,16.6117243,0.16534881946114285,0.12742308656118925,0.08949735366123568,0.8725769134388107
86ac8395fffffff,-18.67881539,15.24539605,0.24389622383956927,0.13971898918812084,0.0355417545366724,0.8602810108118791
86ac863a7ffffff,-19.26631336,16.73970577,0.06255774390165,0.03244165528879164,0.0023255666759332883,0.9675583447112084
86ac8114fffffff,-19.18564732,14.46337947,0.08667077406524791,0.05899412167948047,0.03131746929371303,0.9410058783205195
86ac860c7ffffff,-19.22449834,16.90350157,0.06778333055511362,0.04399616920247251,0.020209007849831404,0.9560038307975275
86ac8064fffffff,-18.75443376,15.5275977,0.3352647936559242,0.2224712477563598,0.10967770185679541,0.7775287522436403
86ac80cc7ffffff,-19.27433272,16.12738281,0.29497263489662173,0.207906362809917,0.12084009072321229,0.792093637190083
86ac86357ffffff,-19.28067451,16.51775965,0.15528979970304274,0.11395615788276985,0.07262251606249696,0.8860438421172302
86ac8212fffffff,-18.50583279,16.50291955,0.056821865229839535,0.029805075034043296,0.0027882848382470545,0.9701949249659567
86ac80da7ffffff,-19.50675852,16.37104771,0.17382308991829754,0.09964133997775489,0.025459590037212265,0.9003586600222451
86ac81057ffffff,-19.02960217,14.50546187,0.34658235017402095,0.22482758411856693,0.10307281806311294,0.775172415881433
86ac80067ffffff,-19.27377301,15.62791738,0.3951843055949425,0.24416219915130474,0.09314009270766692,0.7558378008486952
86ac862b7ffffff,-19.0812534,16.72263545,0.11376955568648182,0.07908887325599744,0.04440819082551305,0.9209111267440026
86ac86257ffffff,-19.13014854,16.44830866,0.13257462267699,0.0909294345195565,0.049284246362123016,0.9090705654804435
86ac81417ffffff,-18.81468562,15.03671264,0.2297286195014399,0.1255394314777536,0.021350243454067268,0.8744605685222464
86ac805afffffff,-19.04833553,16.27392706,0.147366117587626,0.08184571734095793,0.016325317094289866,0.9181542826590421
86ac86317ffffff,-19.30075921,16.68702863,0.10611152505125479,0.07719712062224593,0.048282716193237055,0.9228028793777541
86ac81bb7ffffff,-19.3692442,14.47836046,0.2044205834941491,0.12561606864150018,0.04681155378885129,0.8743839313584998
86ac8629fffffff,-18.99235457,16.65867126,0.06087132569443897,0.03297008234154387,0.005068838988648765,0.9670299176584561
86ac8074fffffff,-18.90487722,15.59586103,0.33817196646418984,0.233577514314558,0.12898306216492614,0.766422485685442
86ac81cdfffffff,-19.06650749,14.9478061,0.4336240589432098,0.30547122366078655,0.1773183883783633,0.6945287763392134
86ac863b7ffffff,-19.23183554,16.79238657,0.10327767499934032,0.0724479452662078,0.04161821553307532,0.9275520547337922
86ac86097ffffff,-19.20960515,17.12596573,0.012343119869777243,0.007883078042766912,0.0034230362157565797,0.9921169219572331
86ac83957ffffff,-18.70625827,15.3028192,0.3930490206374416,0.2925219847911486,0.19199494894485555,0.7074780152088513
86ac82977ffffff,-18.91072577,16.4840561,0.15484599869637752,0.10608965635217799,0.05733331400797846,0.893910343647822
86ac814e7ffffff,-18.75965799,14.92215928,0.14677065870411024,0.09482803156748693,0.04288540443086362,0.905171968432513
86ac8024fffffff,-18.9925148,15.16182317,0.2731073465848666,0.15888959008151946,0.04467183357817235,0.8411104099184805
86ac80017ffffff,-19.19901864,15.8430473,0.4126429145906744,0.294525797840718,0.17640868109076155,0.705474202159282
